Type,text,text,obo id,doi,text,obo id,integer,integer,integer,obo id,float,float,float
Unit,,,,,,,pixel,pixel,pixel,,micrometers squared,micrometers squared,
Feature class,mask,mask,mask,mask,mask,ontology,spatial,spatial,spatial,ontology,morphology,morphology,morphology
Description,The name of the OME TIFF file that contains the mask.,The name of the mask. THIS MUST MATCH A CHANNEL IN THE OME TIFF FILE.,The ontological ID defining the mask. This ID must be from an OBO Foundry ontology. https://obofoundry.org.,The protocol used to define the mask.,This is the tool used to annotate the objects.,"The ontological ID for the specific object identified in the mask. In some cases the Mask ID and Object type are the same, for example, if the mask is identifying all cells and each object is an unidentified cell. In this case both the mask ID and object type would be ""CL:0000000"".","The X value of the object's centroid. The top left corner of the image is assumed to have a pixel value of 0. The OME TIFF file XML header must contain the minimum specification as defined below. Specifically, the physical pixel size is necessary to convert pixel coordinates to spatial coordinates. https://docs.google.com/spreadsheets/d/1YnmdTAA0Z9MKN3OjR3Sca8pz-LNQll91wdQoRPSP6Q4/edit#gid=0","The Y value of the object's centroid. The top left corner of the image is assumed to have a pixel value of 0. The OME TIFF file XML header must contain the minimum specification as defined below. Specifically, the physical pixel size is necessary to convert pixel coordinates to spatial coordinates. https://docs.google.com/spreadsheets/d/1YnmdTAA0Z9MKN3OjR3Sca8pz-LNQll91wdQoRPSP6Q4/edit#gid=0","The Z value of the object's centroid. The bottom of the 3D object is assumed to have a pixel value of 0. The OME TIFF file XML header must contain the minimum specification as defined below. Specifically, the physical pixel size is necessary to convert pixel coordinates to spatial coordinates. https://docs.google.com/spreadsheets/d/1YnmdTAA0Z9MKN3OjR3Sca8pz-LNQll91wdQoRPSP6Q4/edit#gid=0",The object is located in an anatomical structure with this ontology identifier.,This column contains the area value of the object.,This column contains the radius value of the object.,This column contains the object's luminal fraction as a value between 0 and 1.
Protocol used to derive this feature value (DOI),,,,,,10.1016/j.cell.2021.04.048,10.1038/s41587-021-01044-w,10.1038/s41587-021-01044-w,10.1038/s41587-021-01044-w,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1
Alternative ID,,,,,,,,,,,,,
Requirement level,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,REQUIRED,REQUIRED,REQUIRED,OPTIONAL,REQUIRED,REQUIRED,OPTIONAL
Permissible values,,,,,Azimuth | STELLAR | FUSION | In-house | Manual | Not applicable,,,,,,,,
,,,,,,,,,,,,,
Object ID,Source file,Mask name,Mask ID,Protocol for mask creation (DOI),Annotation tool,Object type,X,Y,Z,Anatomical structure,Area,Radius,Luminal fraction
1344,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,34313,68559,0,UBERON:0003509,7016.78125,31.50099205,0.255567224
1343,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,30474,65689,0,UBERON:0003509,12775.34375,29.04522336,0.352897958
1342,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,32409,65071,0,UBERON:0003509,5048.34375,27.22361108,0.633707683
1341,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,25888,64782,0,UBERON:0003509,412.1875,9.003471553,0.747135367
1340,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,25921,64641,0,UBERON:0003509,295.21875,8.696263565,0.174867128
1339,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,28861,64317,0,UBERON:0003509,16457.0625,37.3965239,0.560314598
1338,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,31059,63647,0,UBERON:0003509,1559.15625,17.95132307,0.626694754
1337,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,23562,63607,0,UBERON:0003509,3049.34375,17.17010483,0.372922839
1336,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,26709,63485,0,UBERON:0003509,540.34375,11.3137085,0.088388348
1335,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,26092,63028,0,UBERON:0003509,21679.03125,71.48470116,0.551812698
1334,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,21677,62352,0,UBERON:0003509,3474.34375,21.30874234,0.122488535
1333,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,29038,61880,0,UBERON:0003509,815.25,13.88569408,0.396091111
1332,91706.segmentations.ome.tiff,arteries-arterioles,UBERON:0001637,dx.doi.org/10.17504/protocols.io.dm6gp35p8vzp/v1,STELLAR,UBERON:0001637,40249,61459,0,UBERON:0003509,362.9375,8.877640452,0.116109276
